product_code,size,site,style_name,color,offer_url
,12,houseoffraser,Barbour | Ettie Showeproof Jacket | Dusk Green/Tart | FRASERS,Dusk Green/Tart,https://www.houseoffraser.co.uk/brand/barbour/ettie-showeproof-jacket-669623#colcode=66962315
,14,houseoffraser,Barbour | Ettie Showeproof Jacket | Dusk Green/Tart | FRASERS,Dusk Green/Tart,https://www.houseoffraser.co.uk/brand/barbour/ettie-showeproof-jacket-669623#colcode=66962315
,16,houseoffraser,Barbour | Ettie Showeproof Jacket | Dusk Green/Tart | FRASERS,Dusk Green/Tart,https://www.houseoffraser.co.uk/brand/barbour/ettie-showeproof-jacket-669623#colcode=66962315
,M,houseoffraser,Barbour | Farnham Showerproof Jacket | Dark Slate Gy71 | FRASERS,Dark Slate GY71,https://www.houseoffraser.co.uk/brand/barbour/farnham-showerproof-jacket-638295#colcode=63829502
,S,houseoffraser,Barbour | Farnham Showerproof Jacket | Dark Slate Gy71 | FRASERS,Dark Slate GY71,https://www.houseoffraser.co.uk/brand/barbour/farnham-showerproof-jacket-638295#colcode=63829502
,XL,houseoffraser,Barbour | Farnham Showerproof Jacket | Dark Slate Gy71 | FRASERS,Dark Slate GY71,https://www.houseoffraser.co.uk/brand/barbour/farnham-showerproof-jacket-638295#colcode=63829502
,XL,houseoffraser,Barbour | Foulton Wool Jacket | Navy | FRASERS,Navy,https://www.houseoffraser.co.uk/brand/barbour/foulton-wool-jacket-313535#colcode=31353518
,XXL,houseoffraser,Barbour | Fraser Tailored Wool Coat | Black Bk11 | FRASERS,Black BK11,https://www.houseoffraser.co.uk/brand/barbour/fraser-tailored-wool-coat-615192#colcode=61519203
,L,houseoffraser,Barbour | Fraser Tailored Wool Coat | Black Bk11 | FRASERS,Black BK11,https://www.houseoffraser.co.uk/brand/barbour/fraser-tailored-wool-coat-615192#colcode=61519203
,M,houseoffraser,Barbour | Fraser Tailored Wool Coat | Black Bk11 | FRASERS,Black BK11,https://www.houseoffraser.co.uk/brand/barbour/fraser-tailored-wool-coat-615192#colcode=61519203
,S,houseoffraser,Barbour | Fraser Tailored Wool Coat | Black Bk11 | FRASERS,Black BK11,https://www.houseoffraser.co.uk/brand/barbour/fraser-tailored-wool-coat-615192#colcode=61519203
